,country,incomes,year,age
89,European Union,15870.0,2011,From 25 to 49 years
90,European Union,16054.0,2011,From 25 to 54 years
91,European Union,16637.0,2011,From 50 to 64 years
92,European Union,16375.0,2011,From 55 to 64 years
93,European Union,15269.0,2011,Less than 60 years
94,European Union,14463.0,2011,60 years or over
95,European Union,15339.0,2011,Less than 65 years
96,European Union,,2011,From 65 to 74 years
97,European Union,13989.0,2011,65 years or over
98,European Union,15222.0,2011,Less than 75 years
99,European Union,13512.0,2011,75 years or over
100,European Union,,2011,Total
101,European Union,,2011,Less than 6 years
102,European Union,,2011,From 6 to 10 years
103,European Union,,2011,From 6 to 11 years
104,European Union,,2011,From 11 to 15 years
105,European Union,,2011,From 12 to 17 years
106,European Union,,2011,Less than 16 years
107,European Union,,2011,From 16 to 24 years
108,European Union,,2011,From 16 to 64 years
109,European Union,,2011,16 years or over
110,European Union,,2011,Less than 18 years
111,European Union,,2011,From 18 to 24 years
112,European Union,,2011,From 18 to 64 years
113,European Union,,2011,18 years or over
114,European Union,,2011,From 25 to 49 years
115,European Union,,2011,From 25 to 54 years
116,European Union,,2011,From 50 to 64 years
117,European Union,,2011,From 55 to 64 years
118,European Union,,2011,Less than 60 years
119,European Union,,2011,60 years or over
120,European Union,,2011,Less than 65 years
121,European Union,,2011,From 65 to 74 years
122,European Union,,2011,65 years or over
123,European Union,,2011,Less than 75 years
124,European Union,,2011,75 years or over
125,Netherlands,20310.0,2011,Total
126,Netherlands,19869.0,2011,Less than 6 years
127,Netherlands,,2011,From 6 to 10 years
128,Netherlands,18876.0,2011,From 6 to 11 years
129,Netherlands,,2011,From 11 to 15 years
130,Netherlands,17842.0,2011,From 12 to 17 years
131,Netherlands,18902.0,2011,Less than 16 years
132,Netherlands,18671.0,2011,From 16 to 24 years
133,Netherlands,21344.0,2011,From 16 to 64 years
134,Netherlands,20708.0,2011,16 years or over
135,Netherlands,18819.0,2011,Less than 18 years
136,Netherlands,18797.0,2011,From 18 to 24 years
137,Netherlands,21473.0,2011,From 18 to 64 years
138,Netherlands,20827.0,2011,18 years or over
139,Netherlands,21577.0,2011,From 25 to 49 years
140,Netherlands,21770.0,2011,From 25 to 54 years
141,Netherlands,22479.0,2011,From 50 to 64 years
142,Netherlands,22186.0,2011,From 55 to 64 years
143,Netherlands,20817.0,2011,Less than 60 years
144,Netherlands,18942.0,2011,60 years or over
145,Netherlands,20842.0,2011,Less than 65 years
146,Netherlands,,2011,From 65 to 74 years
147,Netherlands,18113.0,2011,65 years or over
148,Netherlands,20674.0,2011,Less than 75 years
149,Netherlands,17121.0,2011,75 years or over
150,Portugal,8410.0,2011,Total
151,Portugal,8185.0,2011,Less than 6 years
152,Portugal,,2011,From 6 to 10 years
153,Portugal,7572.0,2011,From 6 to 11 years
154,Portugal,,2011,From 11 to 15 years
155,Portugal,7090.0,2011,From 12 to 17 years
156,Portugal,7640.0,2011,Less than 16 years
157,Portugal,7681.0,2011,From 16 to 24 years
158,Portugal,8896.0,2011,From 16 to 64 years
159,Portugal,8560.0,2011,16 years or over
160,Portugal,7613.0,2011,Less than 18 years
161,Portugal,8005.0,2011,From 18 to 24 years
162,Portugal,8972.0,2011,From 18 to 64 years
163,Portugal,8610.0,2011,18 years or over
164,Portugal,8980.0,2011,From 25 to 49 years
165,Portugal,9009.0,2011,From 25 to 54 years
166,Portugal,9332.0,2011,From 50 to 64 years
167,Portugal,9263.0,2011,From 55 to 64 years
168,Portugal,8581.0,2011,Less than 60 years
169,Portugal,7878.0,2011,60 years or over
170,Portugal,8634.0,2011,Less than 65 years
171,Portugal,,2011,From 65 to 74 years
172,Portugal,7472.0,2011,65 years or over
173,Portugal,8581.0,2011,Less than 75 years
174,Portugal,6757.0,2011,75 years or over
175,Norway,36453.0,2011,Total
176,Norway,35424.0,2011,Less than 6 years
177,Norway,,2011,From 6 to 10 years
178,Norway,34800.0,2011,From 6 to 11 years
179,Norway,,2011,From 11 to 15 years
180,Norway,34452.0,2011,From 12 to 17 years
181,Norway,34888.0,2011,Less than 16 years
182,Norway,30343.0,2011,From 16 to 24 years
183,Norway,38102.0,2011,From 16 to 64 years
184,Norway,36869.0,2011,16 years or over
185,Norway,34860.0,2011,Less than 18 years
186,Norway,27985.0,2011,From 18 to 24 years
187,Norway,38363.0,2011,From 18 to 64 years
188,Norway,36976.0,2011,18 years or over
189,Norway,37482.0,2011,From 25 to 49 years
190,Norway,38198.0,2011,From 25 to 54 years
191,Norway,43021.0,2011,From 50 to 64 years
192,Norway,43051.0,2011,From 55 to 64 years
193,Norway,36851.0,2011,Less than 60 years
194,Norway,34452.0,2011,60 years or over
195,Norway,37228.0,2011,Less than 65 years
196,Norway,,2011,From 65 to 74 years
197,Norway,31780.0,2011,65 years or over
198,Norway,37039.0,2011,Less than 75 years
199,Norway,27749.0,2011,75 years or over
200,United Kingdom,17136.0,2011,Total
201,United Kingdom,15599.0,2011,Less than 6 years
202,United Kingdom,,2011,From 6 to 10 years
203,United Kingdom,15704.0,2011,From 6 to 11 years
204,United Kingdom,,2011,From 11 to 15 years
205,United Kingdom,15035.0,2011,From 12 to 17 years
206,United Kingdom,15473.0,2011,Less than 16 years
207,United Kingdom,15832.0,2011,From 16 to 24 years
208,United Kingdom,18700.0,2011,From 16 to 64 years
209,United Kingdom,17533.0,2011,16 years or over
210,United Kingdom,15401.0,2011,Less than 18 years
211,United Kingdom,16462.0,2011,From 18 to 24 years
212,United Kingdom,18887.0,2011,From 18 to 64 years
213,United Kingdom,17634.0,2011,18 years or over
214,United Kingdom,19324.0,2011,From 25 to 49 years
215,United Kingdom,19449.0,2011,From 25 to 54 years
216,United Kingdom,19223.0,2011,From 50 to 64 years
217,United Kingdom,18591.0,2011,From 55 to 64 years
218,United Kingdom,17781.0,2011,Less than 60 years
219,United Kingdom,15434.0,2011,60 years or over
220,United Kingdom,17880.0,2011,Less than 65 years
221,United Kingdom,,2011,From 65 to 74 years
222,United Kingdom,14534.0,2011,65 years or over
223,United Kingdom,17566.0,2011,Less than 75 years
224,United Kingdom,13530.0,2011,75 years or over
225,Montenegro,,2011,Total
226,Montenegro,,2011,Less than 6 years
227,Montenegro,,2011,From 6 to 10 years
228,Montenegro,,2011,From 6 to 11 years
229,Montenegro,,2011,From 11 to 15 years
230,Montenegro,,2011,From 12 to 17 years
231,Montenegro,,2011,Less than 16 years
232,Montenegro,,2011,From 16 to 24 years
233,Montenegro,,2011,From 16 to 64 years
234,Montenegro,,2011,16 years or over
235,Montenegro,,2011,Less than 18 years
236,Montenegro,,2011,From 18 to 24 years
237,Montenegro,,2011,From 18 to 64 years
238,Montenegro,,2011,18 years or over
239,Montenegro,,2011,From 25 to 49 years
240,Montenegro,,2011,From 25 to 54 years
241,Montenegro,,2011,From 50 to 64 years
242,Montenegro,,2011,From 55 to 64 years
243,Montenegro,,2011,Less than 60 years
244,Montenegro,,2011,60 years or over
245,Montenegro,,2011,Less than 65 years
246,Montenegro,,2011,From 65 to 74 years
247,Montenegro,,2011,65 years or over
248,Montenegro,,2011,Less than 75 years
249,Montenegro,,2011,75 years or over
250,European Union,15456.0,2012,Total
251,European Union,14913.0,2012,Less than 6 years
252,European Union,,2012,From 6 to 10 years
253,European Union,14343.0,2012,From 6 to 11 years
254,European Union,,2012,From 11 to 15 years
255,European Union,13840.0,2012,From 12 to 17 years
256,European Union,14421.0,2012,Less than 16 years
257,European Union,14095.0,2012,From 16 to 24 years
258,European Union,16065.0,2012,From 16 to 64 years
259,European Union,15682.0,2012,16 years or over
260,European Union,14361.0,2012,Less than 18 years
261,European Union,14131.0,2012,From 18 to 24 years
262,European Union,16162.0,2012,From 18 to 64 years
263,European Union,15742.0,2012,18 years or over
264,European Union,16230.0,2012,From 25 to 49 years
265,European Union,16429.0,2012,From 25 to 54 years
266,European Union,17086.0,2012,From 50 to 64 years
267,European Union,16851.0,2012,From 55 to 64 years
268,European Union,15626.0,2012,Less than 60 years
269,European Union,14945.0,2012,60 years or over
270,European Union,15688.0,2012,Less than 65 years
271,European Union,,2012,From 65 to 74 years
272,European Union,14576.0,2012,65 years or over
273,European Union,15618.0,2012,Less than 75 years
274,European Union,13916.0,2012,75 years or over
275,European Union,14924.0,2012,Total
276,European Union,14681.0,2012,Less than 6 years
277,European Union,,2012,From 6 to 10 years
278,European Union,13865.0,2012,From 6 to 11 years
279,European Union,,2012,From 11 to 15 years
280,European Union,13321.0,2012,From 12 to 17 years
281,European Union,14014.0,2012,Less than 16 years
282,European Union,13545.0,2012,From 16 to 24 years
283,European Union,15418.0,2012,From 16 to 64 years
284,European Union,15105.0,2012,16 years or over
285,European Union,13952.0,2012,Less than 18 years
286,European Union,13561.0,2012,From 18 to 24 years
287,European Union,15509.0,2012,From 18 to 64 years
288,European Union,15155.0,2012,18 years or over
289,European Union,15508.0,2012,From 25 to 49 years
290,European Union,15739.0,2012,From 25 to 54 years
291,European Union,16506.0,2012,From 50 to 64 years
292,European Union,16248.0,2012,From 55 to 64 years
293,European Union,15061.0,2012,Less than 60 years
294,European Union,14537.0,2012,60 years or over
295,European Union,15120.0,2012,Less than 65 years
296,European Union,,2012,From 65 to 74 years
297,European Union,14195.0,2012,65 years or over
298,European Union,15064.0,2012,Less than 75 years
299,European Union,13631.0,2012,75 years or over
300,European Union,15456.0,2012,Total
301,European Union,14913.0,2012,Less than 6 years
302,European Union,,2012,From 6 to 10 years
303,European Union,14341.0,2012,From 6 to 11 years
304,European Union,,2012,From 11 to 15 years
305,European Union,13840.0,2012,From 12 to 17 years
306,European Union,14419.0,2012,Less than 16 years
307,European Union,14096.0,2012,From 16 to 24 years
308,European Union,16063.0,2012,From 16 to 64 years
309,European Union,15681.0,2012,16 years or over
310,European Union,14360.0,2012,Less than 18 years
311,European Union,14132.0,2012,From 18 to 24 years
312,European Union,16161.0,2012,From 18 to 64 years
313,European Union,15741.0,2012,18 years or over
314,European Union,16228.0,2012,From 25 to 49 years
315,European Union,16428.0,2012,From 25 to 54 years
316,European Union,17087.0,2012,From 50 to 64 years
317,European Union,16852.0,2012,From 55 to 64 years
318,European Union,15626.0,2012,Less than 60 years
319,European Union,14944.0,2012,60 years or over
320,European Union,15687.0,2012,Less than 65 years
321,European Union,,2012,From 65 to 74 years
322,European Union,14576.0,2012,65 years or over
323,European Union,15617.0,2012,Less than 75 years
324,European Union,13916.0,2012,75 years or over
325,European Union,15543.0,2012,Total
326,European Union,14981.0,2012,Less than 6 years
327,European Union,,2012,From 6 to 10 years
328,European Union,14423.0,2012,From 6 to 11 years
329,European Union,,2012,From 11 to 15 years
330,European Union,13932.0,2012,From 12 to 17 years
331,European Union,14501.0,2012,Less than 16 years
332,European Union,14172.0,2012,From 16 to 24 years
333,European Union,16155.0,2012,From 16 to 64 years
334,European Union,15769.0,2012,16 years or over
335,European Union,14442.0,2012,Less than 18 years
336,European Union,14205.0,2012,From 18 to 24 years
337,European Union,16253.0,2012,From 18 to 64 years
338,European Union,15830.0,2012,18 years or over
339,European Union,16317.0,2012,From 25 to 49 years
340,European Union,16520.0,2012,From 25 to 54 years
341,European Union,17189.0,2012,From 50 to 64 years
342,European Union,16953.0,2012,From 55 to 64 years
343,European Union,15713.0,2012,Less than 60 years
344,European Union,15030.0,2012,60 years or over
345,European Union,15775.0,2012,Less than 65 years
346,European Union,,2012,From 65 to 74 years
347,European Union,14659.0,2012,65 years or over
348,European Union,15705.0,2012,Less than 75 years
349,European Union,13994.0,2012,75 years or over
350,European Union,,2012,Total
351,European Union,,2012,Less than 6 years
352,European Union,,2012,From 6 to 10 years
353,European Union,,2012,From 6 to 11 years
354,European Union,,2012,From 11 to 15 years
355,European Union,,2012,From 12 to 17 years
356,European Union,,2012,Less than 16 years
357,European Union,,2012,From 16 to 24 years
358,European Union,,2012,From 16 to 64 years
359,European Union,,2012,16 years or over
360,European Union,,2012,Less than 18 years
361,European Union,,2012,From 18 to 24 years
362,European Union,,2012,From 18 to 64 years
363,European Union,,2012,18 years or over
364,European Union,,2012,From 25 to 49 years
365,European Union,,2012,From 25 to 54 years
366,European Union,,2012,From 50 to 64 years
367,European Union,,2012,From 55 to 64 years
368,European Union,,2012,Less than 60 years
369,European Union,,2012,60 years or over
370,European Union,,2012,Less than 65 years
371,European Union,,2012,From 65 to 74 years
372,European Union,,2012,65 years or over
373,European Union,,2012,Less than 75 years
374,European Union,,2012,75 years or over
375,Netherlands,20562.0,2012,Total
376,Netherlands,20238.0,2012,Less than 6 years
377,Netherlands,,2012,From 6 to 10 years
378,Netherlands,19267.0,2012,From 6 to 11 years
379,Netherlands,,2012,From 11 to 15 years
380,Netherlands,18436.0,2012,From 12 to 17 years
381,Netherlands,19362.0,2012,Less than 16 years
382,Netherlands,18630.0,2012,From 16 to 24 years
383,Netherlands,21515.0,2012,From 16 to 64 years
384,Netherlands,20862.0,2012,16 years or over
385,Netherlands,19284.0,2012,Less than 18 years
386,Netherlands,18551.0,2012,From 18 to 24 years
387,Netherlands,21649.0,2012,From 18 to 64 years
388,Netherlands,20943.0,2012,18 years or over
389,Netherlands,21628.0,2012,From 25 to 49 years
390,Netherlands,22048.0,2012,From 25 to 54 years
391,Netherlands,23077.0,2012,From 50 to 64 years
392,Netherlands,22751.0,2012,From 55 to 64 years
393,Netherlands,20854.0,2012,Less than 60 years
394,Netherlands,19483.0,2012,60 years or over
395,Netherlands,20938.0,2012,Less than 65 years
396,Netherlands,,2012,From 65 to 74 years
397,Netherlands,18788.0,2012,65 years or over
398,Netherlands,20777.0,2012,Less than 75 years
399,Netherlands,17759.0,2012,75 years or over
400,Portugal,8323.0,2012,Total
401,Portugal,8394.0,2012,Less than 6 years
402,Portugal,,2012,From 6 to 10 years
403,Portugal,7706.0,2012,From 6 to 11 years
404,Portugal,,2012,From 11 to 15 years
405,Portugal,6812.0,2012,From 12 to 17 years
406,Portugal,7736.0,2012,Less than 16 years
407,Portugal,7562.0,2012,From 16 to 24 years
408,Portugal,8603.0,2012,From 16 to 64 years
409,Portugal,8431.0,2012,16 years or over
410,Portugal,7603.0,2012,Less than 18 years
411,Portugal,7802.0,2012,From 18 to 24 years
412,Portugal,8656.0,2012,From 18 to 64 years
413,Portugal,8469.0,2012,18 years or over
414,Portugal,8753.0,2012,From 25 to 49 years
415,Portugal,8819.0,2012,From 25 to 54 years
416,Portugal,9003.0,2012,From 50 to 64 years
417,Portugal,8989.0,2012,From 55 to 64 years
418,Portugal,8416.0,2012,Less than 60 years
419,Portugal,7992.0,2012,60 years or over
420,Portugal,8432.0,2012,Less than 65 years
421,Portugal,,2012,From 65 to 74 years
422,Portugal,7734.0,2012,65 years or over
423,Portugal,8462.0,2012,Less than 75 years
424,Portugal,6814.0,2012,75 years or over
425,Norway,40106.0,2012,Total
426,Norway,38011.0,2012,Less than 6 years
427,Norway,,2012,From 6 to 10 years
428,Norway,38413.0,2012,From 6 to 11 years
429,Norway,,2012,From 11 to 15 years
430,Norway,37577.0,2012,From 12 to 17 years
431,Norway,38015.0,2012,Less than 16 years
432,Norway,33940.0,2012,From 16 to 24 years
433,Norway,41540.0,2012,From 16 to 64 years
434,Norway,40653.0,2012,16 years or over
435,Norway,38011.0,2012,Less than 18 years
436,Norway,32444.0,2012,From 18 to 24 years
437,Norway,41671.0,2012,From 18 to 64 years
438,Norway,40766.0,2012,18 years or over
439,Norway,40808.0,2012,From 25 to 49 years
440,Norway,41571.0,2012,From 25 to 54 years
441,Norway,47182.0,2012,From 50 to 64 years
442,Norway,47597.0,2012,From 55 to 64 years
443,Norway,40216.0,2012,Less than 60 years
444,Norway,39729.0,2012,60 years or over
445,Norway,40632.0,2012,Less than 65 years
446,Norway,,2012,From 65 to 74 years
447,Norway,37154.0,2012,65 years or over
448,Norway,40637.0,2012,Less than 75 years
449,Norway,32954.0,2012,75 years or over
450,United Kingdom,19166.0,2012,Total
451,United Kingdom,16365.0,2012,Less than 6 years
452,United Kingdom,,2012,From 6 to 10 years
453,United Kingdom,17443.0,2012,From 6 to 11 years
454,United Kingdom,,2012,From 11 to 15 years
455,United Kingdom,17112.0,2012,From 12 to 17 years
456,United Kingdom,17000.0,2012,Less than 16 years
457,United Kingdom,17427.0,2012,From 16 to 24 years
458,United Kingdom,20645.0,2012,From 16 to 64 years
459,United Kingdom,19780.0,2012,16 years or over
460,United Kingdom,16958.0,2012,Less than 18 years
461,United Kingdom,17552.0,2012,From 18 to 24 years
462,United Kingdom,20811.0,2012,From 18 to 64 years
463,United Kingdom,19927.0,2012,18 years or over
464,United Kingdom,21393.0,2012,From 25 to 49 years
465,United Kingdom,21393.0,2012,From 25 to 54 years
466,United Kingdom,21527.0,2012,From 50 to 64 years
467,United Kingdom,21575.0,2012,From 55 to 64 years
468,United Kingdom,19504.0,2012,Less than 60 years
469,United Kingdom,17933.0,2012,60 years or over
470,United Kingdom,19625.0,2012,Less than 65 years
471,United Kingdom,,2012,From 65 to 74 years
472,United Kingdom,17313.0,2012,65 years or over
473,United Kingdom,19460.0,2012,Less than 75 years
474,United Kingdom,16012.0,2012,75 years or over
475,Montenegro,,2012,Total
476,Montenegro,,2012,Less than 6 years
477,Montenegro,,2012,From 6 to 10 years
478,Montenegro,,2012,From 6 to 11 years
479,Montenegro,,2012,From 11 to 15 years
480,Montenegro,,2012,From 12 to 17 years
481,Montenegro,,2012,Less than 16 years
482,Montenegro,,2012,From 16 to 24 years
483,Montenegro,,2012,From 16 to 64 years
484,Montenegro,,2012,16 years or over
485,Montenegro,,2012,Less than 18 years
486,Montenegro,,2012,From 18 to 24 years
487,Montenegro,,2012,From 18 to 64 years
488,Montenegro,,2012,18 years or over
489,Montenegro,,2012,From 25 to 49 years
490,Montenegro,,2012,From 25 to 54 years
491,Montenegro,,2012,From 50 to 64 years
492,Montenegro,,2012,From 55 to 64 years
493,Montenegro,,2012,Less than 60 years
494,Montenegro,,2012,60 years or over
495,Montenegro,,2012,Less than 65 years
496,Montenegro,,2012,From 65 to 74 years
497,Montenegro,,2012,65 years or over
498,Montenegro,,2012,Less than 75 years
499,Montenegro,,2012,75 years or over
500,European Union,15433.0,2013,Total
501,European Union,15045.0,2013,Less than 6 years
502,European Union,,2013,From 6 to 10 years
503,European Union,14459.0,2013,From 6 to 11 years
504,European Union,,2013,From 11 to 15 years
505,European Union,13749.0,2013,From 12 to 17 years
506,European Union,14474.0,2013,Less than 16 years
507,European Union,14101.0,2013,From 16 to 24 years
508,European Union,15958.0,2013,From 16 to 64 years
509,European Union,15633.0,2013,16 years or over
510,European Union,14384.0,2013,Less than 18 years
511,European Union,14209.0,2013,From 18 to 24 years
512,European Union,16058.0,2013,From 18 to 64 years
513,European Union,15692.0,2013,18 years or over
514,European Union,16086.0,2013,From 25 to 49 years
515,European Union,16297.0,2013,From 25 to 54 years
516,European Union,16910.0,2013,From 50 to 64 years
517,European Union,16625.0,2013,From 55 to 64 years
518,European Union,15590.0,2013,Less than 60 years
519,European Union,15064.0,2013,60 years or over
520,European Union,15637.0,2013,Less than 65 years
521,European Union,,2013,From 65 to 74 years
522,European Union,14750.0,2013,65 years or over
523,European Union,15588.0,2013,Less than 75 years
524,European Union,14163.0,2013,75 years or over
525,European Union,14962.0,2013,Total
526,European Union,14837.0,2013,Less than 6 years
527,European Union,,2013,From 6 to 10 years
528,European Union,14187.0,2013,From 6 to 11 years
529,European Union,,2013,From 11 to 15 years
530,European Union,13475.0,2013,From 12 to 17 years
531,European Union,14205.0,2013,Less than 16 years
532,European Union,13614.0,2013,From 16 to 24 years
533,European Union,15349.0,2013,From 16 to 64 years
534,European Union,15112.0,2013,16 years or over
535,European Union,14114.0,2013,Less than 18 years
536,European Union,13666.0,2013,From 18 to 24 years
537,European Union,15432.0,2013,From 18 to 64 years
538,European Union,15162.0,2013,18 years or over
539,European Union,15424.0,2013,From 25 to 49 years
540,European Union,15630.0,2013,From 25 to 54 years
541,European Union,16364.0,2013,From 50 to 64 years
542,European Union,16136.0,2013,From 55 to 64 years
543,European Union,15067.0,2013,Less than 60 years
544,European Union,14746.0,2013,60 years or over
545,European Union,15115.0,2013,Less than 65 years
546,European Union,,2013,From 65 to 74 years
547,European Union,14479.0,2013,65 years or over
548,European Union,15085.0,2013,Less than 75 years
549,European Union,13959.0,2013,75 years or over
550,European Union,15433.0,2013,Total
551,European Union,15045.0,2013,Less than 6 years
552,European Union,,2013,From 6 to 10 years
553,European Union,14459.0,2013,From 6 to 11 years
554,European Union,,2013,From 11 to 15 years
555,European Union,13749.0,2013,From 12 to 17 years
556,European Union,14474.0,2013,Less than 16 years
557,European Union,14101.0,2013,From 16 to 24 years
558,European Union,15958.0,2013,From 16 to 64 years
559,European Union,15633.0,2013,16 years or over
560,European Union,14384.0,2013,Less than 18 years
561,European Union,14209.0,2013,From 18 to 24 years
562,European Union,16058.0,2013,From 18 to 64 years
563,European Union,15692.0,2013,18 years or over
564,European Union,16086.0,2013,From 25 to 49 years
565,European Union,16297.0,2013,From 25 to 54 years
566,European Union,16910.0,2013,From 50 to 64 years
567,European Union,16625.0,2013,From 55 to 64 years
568,European Union,15590.0,2013,Less than 60 years
569,European Union,15064.0,2013,60 years or over
570,European Union,15637.0,2013,Less than 65 years
571,European Union,,2013,From 65 to 74 years
572,European Union,14750.0,2013,65 years or over
573,European Union,15588.0,2013,Less than 75 years
574,European Union,14163.0,2013,75 years or over
575,European Union,15522.0,2013,Total
576,European Union,15122.0,2013,Less than 6 years
577,European Union,,2013,From 6 to 10 years
578,European Union,14535.0,2013,From 6 to 11 years
579,European Union,,2013,From 11 to 15 years
580,European Union,13840.0,2013,From 12 to 17 years
581,European Union,14556.0,2013,Less than 16 years
582,European Union,14184.0,2013,From 16 to 24 years
583,European Union,16051.0,2013,From 16 to 64 years
584,European Union,15723.0,2013,16 years or over
585,European Union,14467.0,2013,Less than 18 years
586,European Union,14292.0,2013,From 18 to 24 years
587,European Union,16150.0,2013,From 18 to 64 years
588,European Union,15782.0,2013,18 years or over
589,European Union,16175.0,2013,From 25 to 49 years
590,European Union,16389.0,2013,From 25 to 54 years
591,European Union,17014.0,2013,From 50 to 64 years
592,European Union,16727.0,2013,From 55 to 64 years
593,European Union,15680.0,2013,Less than 60 years
594,European Union,15150.0,2013,60 years or over
595,European Union,15727.0,2013,Less than 65 years
596,European Union,,2013,From 65 to 74 years
597,European Union,14834.0,2013,65 years or over
598,European Union,15678.0,2013,Less than 75 years
599,European Union,14242.0,2013,75 years or over
600,European Union,,2013,Total
601,European Union,,2013,Less than 6 years
602,European Union,,2013,From 6 to 10 years
603,European Union,,2013,From 6 to 11 years
604,European Union,,2013,From 11 to 15 years
605,European Union,,2013,From 12 to 17 years
606,European Union,,2013,Less than 16 years
607,European Union,,2013,From 16 to 24 years
608,European Union,,2013,From 16 to 64 years
609,European Union,,2013,16 years or over
610,European Union,,2013,Less than 18 years
611,European Union,,2013,From 18 to 24 years
612,European Union,,2013,From 18 to 64 years
613,European Union,,2013,18 years or over
614,European Union,,2013,From 25 to 49 years
615,European Union,,2013,From 25 to 54 years
616,European Union,,2013,From 50 to 64 years
617,European Union,,2013,From 55 to 64 years
618,European Union,,2013,Less than 60 years
619,European Union,,2013,60 years or over
620,European Union,,2013,Less than 65 years
621,European Union,,2013,From 65 to 74 years
622,European Union,,2013,65 years or over
623,European Union,,2013,Less than 75 years
624,European Union,,2013,75 years or over
625,Netherlands,20839.0,2013,Total
626,Netherlands,20559.0,2013,Less than 6 years
627,Netherlands,,2013,From 6 to 10 years
628,Netherlands,19528.0,2013,From 6 to 11 years
629,Netherlands,,2013,From 11 to 15 years
630,Netherlands,19357.0,2013,From 12 to 17 years
631,Netherlands,19911.0,2013,Less than 16 years
632,Netherlands,19281.0,2013,From 16 to 24 years
633,Netherlands,21638.0,2013,From 16 to 64 years
634,Netherlands,21104.0,2013,16 years or over
635,Netherlands,19896.0,2013,Less than 18 years
636,Netherlands,19281.0,2013,From 18 to 24 years
